,ORF_id_gen,chromosome,start,stop,gene_id,gene_symbol,strand,start_codon,ORF_length,transcript_id,uORFids
0,chr1:3856991-3857192:-,chr1,3856992,3857192,ENSG00000116198.12,CEP104,-,ATG,66,ENST00000378230.7,ENST00000378230.7.1
1,chr1:9942630-9942735:-,chr1,9942631,9942735,ENSG00000162441.11,LZIC,-,ATG,34,ENST00000377223.5,ENST00000377223.5.1
2,chr1:17005067-17011757:-,chr1,17005068,17011757,ENSG00000159363.17,ATP13A2,-,ATG,103,ENST00000452699.5,ENST00000452699.5.1
3,chr1:24415814-24419407:+,chr1,24415815,24419407,ENSG00000001461.16,NIPAL3,+,ATG,68,ENST00000003912.7,ENST00000003912.7.1
4,chr1:31919562-31938010:-,chr1,31919563,31938010,ENSG00000184007.19,PTP4A2,-,ATG,39,ENST00000647444.1,ENST00000647444.1.1
5,chr1:35557212-35557269:-,chr1,35557213,35557269,ENSG00000142687.17,KIAA0319L,-,ATG,18,ENST00000325722.7,ENST00000325722.7.1
6,chr1:39847290-39883491:-,chr1,39847291,39883491,ENSG00000043514.15,TRIT1,-,ATG,273,ENST00000537440.5,ENST00000537440.5.1
7,chr1:46572124-46594146:-,chr1,46572125,46594146,ENSG00000079277.19,MKNK1,-,ATG,118,ENST00000341183.9,ENST00000341183.9.1
8,chr1:45691012-45691060:+,chr1,45691013,45691060,ENSG00000159596.6,TMEM69,+,ATG,15,ENST00000372025.4,ENST00000372025.4.1
9,chr1:50968787-50969330:+,chr1,50968788,50969330,ENSG00000123080.10,CDKN2C,+,ATG,180,ENST00000262662.5,ENST00000262662.5.1
10,chr1:52142373-52216464:+,chr1,52142374,52216464,ENSG00000157077.14,ZFYVE9,+,ATG,41,ENST00000287727.7,ENST00000287727.7.1
11,chr1:112619385-112619493:+,chr1,112619386,112619493,ENSG00000116489.12,CAPZA1,+,ATG,35,ENST00000263168.3,ENST00000263168.3.1
12,chr1:113905495-113905570:+,chr1,113905496,113905570,ENSG00000118655.4,DCLRE1B,+,ATG,24,ENST00000369563.3,ENST00000369563.3.1
13,chr1:113759066-113759126:-,chr1,113759067,113759126,ENSG00000116793.15,PHTF1,-,ATG,19,ENST00000369604.5,ENST00000369604.5.1
14,chr1:150487450-150492478:+,chr1,150487451,150492478,ENSG00000143374.16,TARS2,+,ATG,135,ENST00000438568.6,ENST00000438568.6.1
15,chr1:153668552-153670922:-,chr1,153668553,153670922,ENSG00000143621.16,ILF2,-,ATG,43,ENST00000615950.4,ENST00000615950.4.1
16,chr1:154272679-154272727:+,chr1,154272680,154272727,ENSG00000143575.14,HAX1,+,ATG,15,ENST00000328703.11,ENST00000328703.11.1
17,chr1:156194123-156194192:+,chr1,156194124,156194192,ENSG00000160785.13,SLC25A44,+,ATG,22,ENST00000423538.6,ENST00000423538.6.1
18,chr1:165827833-165885147:+,chr1,165827834,165885147,ENSG00000143179.15,UCK2,+,ATG,34,ENST00000642653.1,ENST00000642653.1.1
19,chr1:170041793-170074467:-,chr1,170041794,170074467,ENSG00000075945.12,KIFAP3,-,ATG,121,ENST00000538366.5,ENST00000538366.5.1
20,chr1:179082103-179082193:+,chr1,179082104,179082193,ENSG00000186283.13,TOR3A,+,ATG,29,ENST00000352445.10,ENST00000352445.10.1
21,chr1:203802093-203802192:+,chr1,203802094,203802192,ENSG00000058673.16,ZC3H11A,+,ATG,32,ENST00000638800.1,ENST00000638800.1.1
22,chr1:204411486-204411642:-,chr1,204411487,204411642,ENSG00000158615.8,PPP1R15B,-,ATG,51,ENST00000367188.4,ENST00000367188.4.1
23,chr1:204411663-204411690:-,chr1,204411664,204411690,ENSG00000158615.8,PPP1R15B,-,ATG,8,ENST00000367188.4,ENST00000367188.4.2
24,chr1:211829298-211830631:-,chr1,211829299,211830631,ENSG00000123684.12,LPGAT1,-,ATG,27,ENST00000366997.8,ENST00000366997.8.1
25,chr1:222712693-222712714:+,chr1,222712694,222712714,ENSG00000162819.11,BROX,+,ATG,6,ENST00000612948.4,ENST00000612948.4.1
26,chr1:233327785-233327887:+,chr1,233327786,233327887,ENSG00000143674.10,RP5-862P8.2,+,ATG,33,ENST00000366624.7,ENST00000366624.7.1
27,chr1:231241225-231241339:+,chr1,231241226,231241339,ENSG00000116906.12,GNPAT,+,ATG,37,ENST00000366647.8,ENST00000366647.8.1
28,chr1:235328581-235328719:+,chr1,235328582,235328719,ENSG00000285053.1,RP11-293G6.1,+,ATG,45,ENST00000644055.1,ENST00000644055.1.1
29,chr1:241636032-241640254:-,chr1,241636033,241640254,ENSG00000203668.2,CHML,-,ATG,137,ENST00000366553.2,ENST00000366553.2.1
30,chr1:241848809-241848917:+,chr1,241848810,241848917,ENSG00000174371.16,EXO1,+,ATG,35,ENST00000366548.7,ENST00000366548.7.1
31,chr2:24793409-24799726:+,chr2,24793410,24799726,ENSG00000138092.10,CENPO,+,ATG,47,ENST00000473706.5,ENST00000473706.5.1
32,chr2:27211485-27212205:-,chr2,27211486,27212205,ENSG00000138074.14,SLC5A6,-,ATG,77,ENST00000310574.7,ENST00000310574.7.1
33,chr2:38778194-38778278:+,chr2,38778195,38778278,ENSG00000152147.10,GEMIN6,+,ATG,27,ENST00000409011.5,ENST00000409011.5.1
34,chr2:53765501-53859947:-,chr2,53765502,53859947,ENSG00000270898.5,GPR75-ASB3,-,ATG,67,ENST00000406625.5,ENST00000406625.5.1
35,chr2:65431995-65432040:-,chr2,65431996,65432040,ENSG00000198369.9,SPRED2,-,ATG,14,ENST00000356388.8,ENST00000356388.8.1
36,chr2:96208543-96208630:-,chr2,96208544,96208630,ENSG00000084090.13,STARD7,-,ATG,28,ENST00000337288.9,ENST00000337288.9.1
37,chr2:111121152-111123765:+,chr2,111121153,111123765,ENSG00000153094.22,BCL2L11,+,ATG,22,ENST00000620862.4,ENST00000620862.4.1
38,chr2:112542494-112550886:+,chr2,112542495,112550886,ENSG00000125630.15,POLR1B,+,ATG,65,ENST00000537335.5,ENST00000537335.5.1
39,chr2:112646592-112646670:+,chr2,112646593,112646670,ENSG00000144136.10,SLC20A1,+,ATG,25,ENST00000272542.7,ENST00000272542.7.1
40,chr2:134254265-134254310:+,chr2,134254266,134254310,ENSG00000152127.8,MGAT5,+,ATG,14,ENST00000409645.5,ENST00000409645.5.1
41,chr2:149587666-149587714:-,chr2,149587667,149587714,ENSG00000168288.12,MMADHC,-,ATG,15,ENST00000303319.9,ENST00000303319.9.1
42,chr2:166307064-166311764:-,chr2,166307065,166311764,ENSG00000169432.15,SCN9A,-,ATG,91,ENST00000409672.5,ENST00000409672.5.1
43,chr2:175136458-175151079:-,chr2,175136459,175151079,ENSG00000115966.16,ATF2,-,ATG,15,ENST00000345739.9,ENST00000345739.9.1
44,chr2:189661520-189666111:+,chr2,189661521,189666111,ENSG00000138381.9,ASNSD1,+,ATG,96,ENST00000260952.8,ENST00000260952.8.1
45,chr2:199955476-199955536:-,chr2,199955477,199955536,ENSG00000162971.10,TYW5,-,ATG,19,ENST00000483328.5,ENST00000483328.5.1
46,chr2:201045506-201045566:-,chr2,201045507,201045566,ENSG00000155744.9,FAM126B,-,ATG,19,ENST00000418596.7,ENST00000418596.7.1
47,chr2:207769431-207769509:-,chr2,207769432,207769509,ENSG00000163251.3,FZD5,-,ATG,25,ENST00000295417.3,ENST00000295417.3.1
48,chr2:218562685-218562772:-,chr2,218562686,218562772,ENSG00000135913.10,USP37,-,ATG,28,ENST00000258399.7,ENST00000258399.7.1
49,chr2:218737595-218737664:+,chr2,218737596,218737664,ENSG00000135912.10,TTLL4,+,ATG,22,ENST00000392102.5,ENST00000392102.5.1
50,chr2:232550240-232550285:-,chr2,232550241,232550285,ENSG00000221944.6,TIGD1,-,ATG,14,ENST00000408957.4,ENST00000408957.4.1
51,chr2:241315603-241315645:-,chr2,241315604,241315645,ENSG00000115677.16,HDLBP,-,ATG,13,ENST00000310931.8,ENST00000310931.8.1
52,chr3:23945457-23945511:+,chr3,23945458,23945511,ENSG00000174738.12,NR1D2,+,ATG,17,ENST00000312521.8,ENST00000312521.8.1
53,chr3:28348696-28348783:-,chr3,28348697,28348783,ENSG00000163512.13,AZI2,-,ATG,28,ENST00000479665.5,ENST00000479665.5.1
54,chr3:47805344-47805419:+,chr3,47805345,47805419,ENSG00000132153.14,DHX30,+,ATG,24,ENST00000445061.5,ENST00000445061.5.1
55,chr3:50292303-50292483:-,chr3,50292304,50292483,ENSG00000214706.10,IFRD2,-,ATG,41,ENST00000436390.5,ENST00000436390.5.1
56,chr3:49510435-49510459:+,chr3,49510436,49510459,ENSG00000173402.11,DAG1,+,ATG,7,ENST00000515359.6,ENST00000515359.6.1
57,chr3:52700483-52704854:-,chr3,52700484,52704854,ENSG00000016864.18,GLT8D1,-,ATG,47,ENST00000478968.6,ENST00000478968.6.1
58,chr3:66500784-66500820:-,chr3,66500785,66500820,ENSG00000144749.13,LRIG1,-,ATG,11,ENST00000383703.3,ENST00000383703.3.1
59,chr3:88058138-88058216:-,chr3,88058139,88058216,ENSG00000163320.10,CGGBP1,-,ATG,25,ENST00000462901.5,ENST00000462901.5.1
60,chr3:119498631-119498691:+,chr3,119498632,119498691,ENSG00000113845.9,TIMMDC1,+,ATG,19,ENST00000494664.5,ENST00000494664.5.1
61,chr3:149812901-149813291:+,chr3,149812902,149813291,ENSG00000082996.19,RNF13,+,ATG,129,ENST00000392894.7,ENST00000392894.7.1
62,chr3:152299842-152299980:+,chr3,152299843,152299980,ENSG00000152601.17,MBNL1,+,ATG,45,ENST00000282488.11,ENST00000282488.11.1
63,chr3:179347748-179347793:+,chr3,179347749,179347793,ENSG00000171109.18,MFN1,+,ATG,14,ENST00000471841.5,ENST00000471841.5.1
64,chr4:5711349-5719288:+,chr4,5711350,5719288,ENSG00000072840.12,EVC,+,ATG,81,ENST00000264956.10,ENST00000264956.10.1
65,chr4:17804650-17804689:-,chr4,17804651,17804689,ENSG00000163257.10,DCAF16,-,ATG,12,ENST00000382247.5,ENST00000382247.5.1
66,chr4:77066297-77075543:-,chr4,77066298,77075543,ENSG00000118816.9,CCNI,-,ATG,59,ENST00000237654.8,ENST00000237654.8.1
67,chr4:105708817-105717738:+,chr4,105708818,105717738,ENSG00000138780.14,GSTCD,+,ATG,114,ENST00000394730.7,ENST00000394730.7.1
68,chr4:147617623-147617659:+,chr4,147617624,147617659,ENSG00000164168.7,TMEM184C,+,ATG,11,ENST00000508208.5,ENST00000508208.5.1
69,chr4:147617704-147617833:+,chr4,147617705,147617833,ENSG00000164168.7,TMEM184C,+,ATG,42,ENST00000508208.5,ENST00000508208.5.2
70,chr5:5422785-5422881:+,chr5,5422786,5422881,ENSG00000164151.11,ICE1,+,ATG,31,ENST00000296564.8,ENST00000296564.8.1
71,chr5:69094205-69094247:+,chr5,69094206,69094247,ENSG00000145740.18,SLC30A5,+,ATG,13,ENST00000396591.7,ENST00000396591.7.1
72,chr5:77077874-77078689:-,chr5,77077875,77078689,ENSG00000132846.5,ZBED3,-,ATG,38,ENST00000255198.2,ENST00000255198.2.1
73,chr5:79619623-79619707:+,chr5,79619624,79619707,ENSG00000164329.13,PAPD4,+,ATG,27,ENST00000453514.5,ENST00000453514.5.1
74,chr5:112976904-112985968:+,chr5,112976905,112985968,ENSG00000172795.15,DCP2,+,ATG,71,ENST00000389063.2,ENST00000389063.2.1
75,chr5:123512227-123512335:+,chr5,123512228,123512335,ENSG00000151292.17,CSNK1G3,+,ATG,35,ENST00000345990.8,ENST00000345990.8.1
76,chr5:123545547-123545628:+,chr5,123545548,123545628,ENSG00000151292.17,CSNK1G3,+,ATG,26,ENST00000345990.8,ENST00000345990.8.2
77,chr5:134618203-134620981:-,chr5,134618204,134620981,ENSG00000152700.13,SAR1B,-,ATG,52,ENST00000507419.5,ENST00000507419.5.1
78,chr5:134758801-134758837:+,chr5,134758802,134758837,ENSG00000145833.15,DDX46,+,ATG,11,ENST00000452510.6,ENST00000452510.6.1
79,chr5:140564843-140566762:+,chr5,140564844,140566762,ENSG00000176087.14,SLC35A4,+,ATG,103,ENST00000323146.7,ENST00000323146.7.1
80,chr5:176361647-176361710:-,chr5,176361648,176361710,ENSG00000122203.14,KIAA1191,-,ATG,20,ENST00000298569.8,ENST00000298569.8.1
81,chr5:179837177-179858842:-,chr5,179837178,179858842,ENSG00000161010.14,C5orf45,-,ATG,271,ENST00000522663.5,ENST00000522663.5.1
82,chr6:7389889-7389952:+,chr6,7389890,7389952,ENSG00000124784.8,RIOK1,+,ATG,20,ENST00000379834.6,ENST00000379834.6.1
83,chr6:21593910-21594057:+,chr6,21593911,21594057,ENSG00000124766.6,SOX4,+,ATG,48,ENST00000244745.3,ENST00000244745.3.1
84,chr6:24720331-24720439:-,chr6,24720332,24720439,ENSG00000112308.12,C6orf62,-,ATG,35,ENST00000378119.8,ENST00000378119.8.1
85,chr6:24403000-24405171:+,chr6,24403001,24405171,ENSG00000124532.14,MRS2,+,ATG,79,ENST00000274747.11,ENST00000274747.11.1
86,chr6:43017192-43018164:+,chr6,43017193,43018164,ENSG00000124702.17,KLHDC3,+,ATG,116,ENST00000244670.12,ENST00000244670.12.1
87,chr6:47478094-47478121:+,chr6,47478095,47478121,ENSG00000198087.7,CD2AP,+,ATG,8,ENST00000359314.5,ENST00000359314.5.1
88,chr6:53041265-53041385:-,chr6,53041266,53041385,ENSG00000112144.15,ICK,-,ATG,39,ENST00000356971.3,ENST00000356971.3.1
89,chr6:53065601-53065673:+,chr6,53065602,53065673,ENSG00000112146.16,FBXO9,+,ATG,23,ENST00000323557.11,ENST00000323557.11.1
90,chr6:97282439-97282520:-,chr6,97282440,97282520,ENSG00000146263.11,MMS22L,-,ATG,26,ENST00000275053.8,ENST00000275053.8.1
91,chr6:95586431-95586506:+,chr6,95586432,95586506,ENSG00000172469.15,MANEA,+,ATG,24,ENST00000358812.8,ENST00000358812.8.1
92,chr6:108854267-108868917:+,chr6,108854268,108868917,ENSG00000118690.12,ARMC2,+,ATG,103,ENST00000368972.7,ENST00000368972.7.1
93,chr6:111483072-111483204:-,chr6,111483073,111483204,ENSG00000009413.15,REV3L,-,ATG,43,ENST00000422377.5,ENST00000422377.5.1
94,chr6:122789346-122796876:+,chr6,122789347,122796876,ENSG00000172594.12,SMPDL3A,+,ATG,54,ENST00000539041.5,ENST00000539041.5.1
95,chr6:156777382-156777520:+,chr6,156777383,156777520,ENSG00000049618.22,ARID1B,+,ATG,45,ENST00000346085.9,ENST00000346085.9.1
96,chr6:152975614-152983469:-,chr6,152975615,152983469,ENSG00000112029.9,FBXO5,-,ATG,80,ENST00000367241.3,ENST00000367241.3.1
97,chr7:1158246-1160132:-,chr7,1158247,1160132,ENSG00000178381.11,ZFAND2A,-,ATG,59,ENST00000401903.5,ENST00000401903.5.1
98,chr7:6446087-6484057:-,chr7,6446088,6484057,ENSG00000164535.14,DAGLB,-,ATG,35,ENST00000436575.5,ENST00000436575.5.1
99,chr7:17940324-17940483:-,chr7,17940325,17940483,ENSG00000071189.21,SNX13,-,ATG,52,ENST00000428135.7,ENST00000428135.7.1
100,chr7:27179748-27179910:-,chr7,27179749,27179910,ENSG00000257184.3,HOXA10-HOXA9,-,ATG,53,ENST00000470747.4,ENST00000470747.4.1
101,chr7:30284931-30285066:+,chr7,30284932,30285066,ENSG00000180233.10,ZNRF2,+,ATG,44,ENST00000323037.4,ENST00000323037.4.1
102,chr7:43648610-43729464:-,chr7,43648611,43729464,ENSG00000106603.18,COA1,-,ATG,25,ENST00000415076.6,ENST00000415076.6.1
103,chr7:66996843-66996897:+,chr7,66996844,66996897,ENSG00000198874.12,TYW1,+,ATG,17,ENST00000615572.4,ENST00000615572.4.1
104,chr7:75073752-75073776:-,chr7,75073753,75073776,ENSG00000274523.4,WBSCR16,-,ATG,7,ENST00000614461.4,ENST00000614461.4.1
105,chr7:75486175-75486202:-,chr7,75486176,75486202,ENSG00000272391.5,POM121C,-,ATG,8,ENST00000615331.4,ENST00000615331.4.1
106,chr7:74246754-74254383:-,chr7,74246755,74254383,ENSG00000049541.10,RFC2,-,ATG,77,ENST00000621097.4,ENST00000621097.4.1
107,chr7:96296919-96322146:-,chr7,96296920,96322146,ENSG00000004864.13,SLC25A13,-,ATG,78,ENST00000416240.6,ENST00000416240.6.1
108,chr7:100099274-100101294:-,chr7,100099275,100101294,ENSG00000166508.17,MCM7,-,ATG,134,ENST00000621318.4,ENST00000621318.4.1
109,chr7:101252018-101252120:-,chr7,101252019,101252120,ENSG00000214253.8,FIS1,-,ATG,33,ENST00000474120.5,ENST00000474120.5.1
