,ORF_id_gen,chromosome,start,stop,gene_id,gene_symbol,strand,start_codon,ORF_length,transcript_id,uORFids
0,chr1:24415814-24419407:+,chr1,24415815,24419407,ENSG00000001461.16,NIPAL3,+,ATG,68,ENST00000003912.7,ENST00000003912.7.1
1,chr1:114716156-114716849:-,chr1,114716157,114716849,ENSG00000213281.4,NRAS,-,ATG,70,ENST00000369535.4,ENST00000369535.4.1
2,chr2:96208543-96208630:-,chr2,96208544,96208630,ENSG00000084090.13,STARD7,-,ATG,28,ENST00000337288.9,ENST00000337288.9.1
3,chr2:241268523-241315791:-,chr2,241268524,241315791,ENSG00000115677.16,HDLBP,-,ATG,79,ENST00000310931.8,ENST00000310931.8.1
4,chr3:132660317-132660422:+,chr3,132660318,132660422,ENSG00000081307.12,UBA5,+,ATG,34,ENST00000356232.8,ENST00000356232.8.1
5,chr6:24720331-24720439:-,chr6,24720332,24720439,ENSG00000112308.12,C6orf62,-,ATG,35,ENST00000378119.8,ENST00000378119.8.1
6,chr6:34425214-34426078:-,chr6,34425215,34426078,ENSG00000124614.14,RPS10,-,ATG,17,ENST00000326199.12,ENST00000326199.12.1
7,chr6:63572680-63576531:+,chr6,63572681,63576531,ENSG00000112245.10,PTP4A1,+,ATG,44,ENST00000370651.5,ENST00000370651.5.1
8,chr7:27179748-27179910:-,chr7,27179749,27179910,ENSG00000257184.3,HOXA10-HOXA9,-,ATG,53,ENST00000470747.4,ENST00000470747.4.1
9,chr8:144509076-144509445:+,chr8,144509077,144509445,ENSG00000167700.8,MFSD3,+,ATG,122,ENST00000301327.4,ENST00000301327.4.1
10,chr10:95693685-95694015:-,chr10,95693686,95694015,ENSG00000119977.20,TCTN3,-,ATG,109,ENST00000265993.13,ENST00000265993.13.1
11,chr11:112025173-112025509:+,chr11,112025174,112025509,ENSG00000150768.15,DLAT,+,ATG,111,ENST00000280346.10,ENST00000280346.10.1
12,chr12:2885284-2885512:+,chr12,2885285,2885512,ENSG00000171792.10,RHNO1,+,ATG,75,ENST00000489288.6,ENST00000489288.6.1
13,chr12:92145756-92145828:-,chr12,92145757,92145828,ENSG00000133639.4,BTG1,-,ATG,23,ENST00000256015.4,ENST00000256015.4.1
14,chr14:103334575-103335924:+,chr14,103334576,103335924,ENSG00000100664.10,EIF5,+,ATG,97,ENST00000216554.7,ENST00000216554.7.1
15,chr15:41096325-41116280:-,chr15,41096326,41116280,ENSG00000128908.15,INO80,-,ATG,111,ENST00000361937.7,ENST00000361937.7.1
16,chr16:19523960-19524023:+,chr16,19523961,19524023,ENSG00000103540.16,CCP110,+,ATG,20,ENST00000396212.6,ENST00000396212.6.1
17,chr18:65751093-65809714:+,chr18,65751094,65809714,ENSG00000081138.13,CDH7,+,ATG,157,ENST00000397968.3,ENST00000397968.3.1
18,chr19:32959971-32971914:-,chr19,32959972,32971914,ENSG00000121289.17,CEP89,-,ATG,90,ENST00000305768.9,ENST00000305768.9.1
19,chr19:37169899-37169965:-,chr19,37169900,37169965,ENSG00000196967.10,ZNF585A,-,ATG,21,ENST00000292841.9,ENST00000292841.9.1
20,chr19:40742432-40744683:-,chr19,40742433,40744683,ENSG00000188493.14,C19orf54,-,ATG,179,ENST00000470681.5,ENST00000470681.5.1
21,chr19:49929395-49930906:+,chr19,49929396,49930906,ENSG00000169136.10,ATF5,+,ATG,59,ENST00000423777.6,ENST00000423777.6.1
22,chrX:47218426-47218471:+,chrX,47218427,47218471,ENSG00000102225.15,CDK16,+,ATG,14,ENST00000457458.6,ENST00000457458.6.1
23,chr1:1375164-1375296:-,chr1,1375165,1375296,ENSG00000175756.13,AURKAIP1,-,ATG,43,ENST00000338338.9,ENST00000338338.9.1
24,chr1:9942630-9942735:-,chr1,9942631,9942735,ENSG00000162441.11,LZIC,-,ATG,34,ENST00000377223.5,ENST00000377223.5.1
25,chr1:36397811-36397868:-,chr1,36397812,36397868,ENSG00000181817.5,LSM10,-,ATG,18,ENST00000315732.2,ENST00000315732.2.1
26,chr1:53838275-53838407:-,chr1,53838276,53838407,ENSG00000058804.11,NDC1,-,ATG,43,ENST00000371429.3,ENST00000371429.3.1
27,chr1:53889352-53889463:-,chr1,53889353,53889463,ENSG00000058799.14,YIPF1,-,ATG,36,ENST00000072644.6,ENST00000072644.6.1
28,chr1:52055508-52055691:-,chr1,52055509,52055691,ENSG00000117862.11,TXNDC12,-,ATG,60,ENST00000371626.8,ENST00000371626.8.1
29,chr1:93180446-93180557:-,chr1,93180447,93180557,ENSG00000117500.12,TMED5,-,ATG,36,ENST00000370282.7,ENST00000370282.7.1
30,chr1:156728642-156728873:+,chr1,156728643,156728873,ENSG00000143303.11,RRNAD1,+,ATG,76,ENST00000368218.8,ENST00000368218.8.1
31,chr1:156194123-156194192:+,chr1,156194124,156194192,ENSG00000160785.13,SLC25A44,+,ATG,22,ENST00000359511.4,ENST00000359511.4.1
32,chr1:158076215-158078060:+,chr1,158076216,158078060,ENSG00000183853.17,KIRREL,+,ATG,38,ENST00000360089.8,ENST00000360089.8.1
33,chr1:165827833-165885147:+,chr1,165827834,165885147,ENSG00000143179.15,UCK2,+,ATG,34,ENST00000642653.1,ENST00000642653.1.1
34,chr1:168178961-168179081:+,chr1,168178962,168179081,ENSG00000143155.12,TIPRL,+,ATG,39,ENST00000367833.6,ENST00000367833.6.1
35,chr1:172442690-172442729:-,chr1,172442691,172442729,ENSG00000135845.9,PIGC,-,ATG,12,ENST00000367728.1,ENST00000367728.1.1
36,chr1:173811305-173823975:-,chr1,173811306,173823975,ENSG00000120334.15,CENPL,-,ATG,16,ENST00000356198.6,ENST00000356198.6.1
37,chr1:179852705-179852780:-,chr1,179852706,179852780,ENSG00000169905.12,TOR1AIP2,-,ATG,24,ENST00000367612.7,ENST00000367612.7.1
38,chr1:204411486-204411642:-,chr1,204411487,204411642,ENSG00000158615.8,PPP1R15B,-,ATG,51,ENST00000367188.4,ENST00000367188.4.1
39,chr1:204411663-204411690:-,chr1,204411664,204411690,ENSG00000158615.8,PPP1R15B,-,ATG,8,ENST00000367188.4,ENST00000367188.4.2
40,chr1:227563694-227650975:+,chr1,227563695,227650975,ENSG00000181450.17,ZNF678,+,ATG,89,ENST00000608949.5,ENST00000608949.5.1
